aeropuerto,2019,2020,2021,2022,2023,2024,2025,2026,nota_2026
Cancún,25481989,12259148,22318467,30342961,32750411,30563739,29478653,12701085,parcial ene-may
Los Cabos,5339316,2927987,5465624,6843094,7459841,7508982,7553028,3234100,parcial ene-may
Puerto Vallarta,4931026,2489825,4053893,6122904,6726336,6811013,6957392,2922236,parcial ene-may
Mazatlán,1161155,740306,1106071,1450944,1621740,1877553,1749103,715271,parcial ene-may
Huatulco,892287,402728,692150,971035,914714,850877,804891,368760,parcial ene-may
Acapulco,875315,395948,670239,838991,894012,604464,692210,321760,parcial ene-may
TOTAL NACIONAL,157464099,77735595,127458702,167213082,186603414,186460675,191246196,78907136,parcial ene-may
