serie,tipo,2019,2020,2021,2022,2023,2024,2025,2026,nota_2026
Tulum,nacional,0,0,0,0,39768,605622,588466,192244,parcial ene-may
Tulum,internacional,0,0,0,0,0,631626,660179,231593,parcial ene-may
Tulum,total,0,0,0,0,39768,1237248,1248645,423837,parcial ene-may
Cancún,nacional,8980396,5454995,9081354,10705896,11842217,10269004,9914244,3763732,parcial ene-may
Cancún,internacional,16501593,6804153,13237113,19637065,20908194,20294735,19564409,8937353,parcial ene-may
Cancún,total,25481989,12259148,22318467,30342961,32750411,30563739,29478653,12701085,parcial ene-may
Riviera aérea (CUN+TUL),nacional,8980396,5454995,9081354,10705896,11881985,10874626,10502710,3955976,parcial ene-may
Riviera aérea (CUN+TUL),internacional,16501593,6804153,13237113,19637065,20908194,20926361,20224588,9168946,parcial ene-may
Riviera aérea (CUN+TUL),total,25481989,12259148,22318467,30342961,32790179,31800987,30727298,13124922,parcial ene-may
