aeropuerto,anio_pico,valor_pico,valor_2025,var_2025_vs_pico_pct,valor_2019,var_2025_vs_2019_pct
Cancún,2023,32750411,29478653,-10.0,25481989,+15.7
Los Cabos,2025,7553028,7553028,+0.0,5339316,+41.5
Puerto Vallarta,2025,6957392,6957392,+0.0,4931026,+41.1
Mazatlán,2024,1877553,1749103,-6.8,1161155,+50.6
Huatulco,2022,971035,804891,-17.1,892287,-9.8
Acapulco,2023,894012,692210,-22.6,875315,-20.9
TOTAL NACIONAL,2025,191246196,191246196,+0.0,157464099,+21.5
