serie,tipo,ytd_ene_may_2025,ytd_ene_may_2026,var_pct
Tulum,nacional,243651,192244,-21.1
Tulum,internacional,375596,231593,-38.3
Tulum,total,619247,423837,-31.6
Cancún,nacional,4006866,3763732,-6.1
Cancún,internacional,9144019,8937353,-2.3
Cancún,total,13150885,12701085,-3.4
Riviera aérea (CUN+TUL),nacional,4250517,3955976,-6.9
Riviera aérea (CUN+TUL),internacional,9519615,9168946,-3.7
Riviera aérea (CUN+TUL),total,13770132,13124922,-4.7
