aeropuerto,anio,mes,nacional,internacional,total
CUN,2017,2,453437,1358164,1811601
CUN,2017,3,527546,1560440,2087986
CUN,2017,4,649971,1481640,2131611
CUN,2017,5,666656,1284817,1951473
CUN,2017,6,697550,1336118,2033668
CUN,2017,7,850105,1484624,2334729
CUN,2017,8,801225,1281316,2082541
CUN,2017,9,603359,888386,1491745
CUN,2017,10,627542,967887,1595429
CUN,2017,11,657481,1194247,1851728
CUN,2017,12,683439,1474807,2158246
CUN,2018,1,629391,1543421,2172812
CUN,2018,2,536561,1445502,1982063
CUN,2018,3,663306,1727020,2390326
CUN,2018,4,705655,1506275,2211930
CUN,2018,5,733343,1290911,2024254
CUN,2018,6,764249,1392349,2156598
CUN,2018,7,938633,1531041,2469674
CUN,2018,8,871321,1327412,2198733
CUN,2018,9,683428,899471,1582899
CUN,2018,10,736367,1012613,1748980
CUN,2018,11,727945,1263638,1991583
CUN,2018,12,787311,1484853,2272164
CUN,2019,1,674760,1513106,2187866
CUN,2019,2,562037,1463274,2025311
CUN,2019,3,662386,1783841,2446227
CUN,2019,4,745015,1507701,2252716
CUN,2019,5,792854,1327014,2119868
CUN,2019,6,781998,1400407,2182405
CUN,2019,7,914987,1484897,2399884
CUN,2019,8,867640,1301415,2169055
CUN,2019,9,701857,889419,1591276
CUN,2019,10,758707,1011657,1770364
CUN,2019,11,747872,1293394,2041266
CUN,2019,12,770284,1525467,2295751
CUN,2020,1,704340,1572774,2277114
CUN,2020,2,611072,1563194,2174266
CUN,2020,3,487448,1014810,1502258
CUN,2020,4,57968,7349,65317
CUN,2020,5,41255,7355,48610
CUN,2020,6,131001,44418,175419
CUN,2020,7,395958,221074,617032
CUN,2020,8,521976,297389,819365
CUN,2020,9,549834,304003,853837
CUN,2020,10,591005,419731,1010736
CUN,2020,11,663094,583443,1246537
CUN,2020,12,700044,768613,1468657
CUN,2021,1,577813,711729,1289542
CUN,2021,2,475677,549582,1025259
CUN,2021,3,692686,877579,1570265
CUN,2021,4,714687,924952,1639639
CUN,2021,5,797780,1095433,1893213
CUN,2021,6,799084,1291026,2090110
CUN,2021,7,931989,1441679,2373668
CUN,2021,8,824710,1237207,2061917
CUN,2021,9,727985,933081,1661066
CUN,2021,10,839056,1141366,1980422
CUN,2021,11,829239,1399489,2228728
CUN,2021,12,870648,1633990,2504638
CUN,2022,1,691864,1500061,2191925
CUN,2022,2,604798,1508779,2113577
CUN,2022,3,784985,1951459,2736444
CUN,2022,4,853177,1764137,2617314
CUN,2022,5,876242,1589007,2465249
CUN,2022,6,829781,1660698,2490479
CUN,2022,7,1036208,1840238,2876446
CUN,2022,8,1072363,1653404,2725767
CUN,2022,9,927307,1254056,2181363
CUN,2022,10,1010502,1404465,2414967
CUN,2022,11,968149,1626692,2594841
CUN,2022,12,1050521,1884068,2934589
CUN,2023,1,914893,1982951,2897844
CUN,2023,2,763729,1846489,2610218
CUN,2023,3,917858,2058778,2976636
CUN,2023,4,992922,1832472,2825394
CUN,2023,5,1029493,1597328,2626821
CUN,2023,6,984167,1717484,2701651
CUN,2023,7,1118655,1898642,3017297
CUN,2023,8,1153621,1636287,2789908
CUN,2023,9,978454,1192419,2170873
CUN,2023,10,1070713,1387565,2458278
CUN,2023,11,956130,1698148,2654278
CUN,2023,12,961582,2059633,3021215
CUN,2024,1,824158,2096243,2920401
CUN,2024,2,705560,2032642,2738202
CUN,2024,3,789963,2281525,3071488
CUN,2024,4,796486,1796360,2592846
CUN,2024,5,878015,1560736,2438751
CUN,2024,6,870730,1606132,2476862
CUN,2024,7,940874,1637174,2578048
CUN,2024,8,983288,1414445,2397733
CUN,2024,9,864863,1034391,1899254
CUN,2024,10,874782,1218036,2092818
CUN,2024,11,834117,1567723,2401840
CUN,2024,12,873409,1929868,2803277
CUN,2025,1,813464,1945595,2759059
CUN,2025,2,680189,1809498,2489687
CUN,2025,3,794115,2142355,2936470
CUN,2025,4,835045,1739253,2574298
CUN,2025,5,867155,1468569,2335724
CUN,2025,6,828705,1558510,2387215
CUN,2025,7,921781,1709759,2631540
CUN,2025,8,921363,1402782,2324145
CUN,2025,9,796173,962546,1758719
CUN,2025,10,835494,1215159,2050653
CUN,2025,11,787059,1594485,2381544
CUN,2025,12,800441,1916043,2716484
CUN,2026,1,743606,1988889,2732495
CUN,2026,2,630468,1868343,2498811
CUN,2026,3,747556,2054234,2801790
CUN,2026,4,789691,1674788,2464479
CUN,2026,5,841058,1305796,2146854
CUN,2026,6,759398,1353772,2113170
